year, month, day, mean_MO_par, stdev_MO_par, anomaly_MO_par, climato_MO_par, pct_valid_pixels
2007, 02, 01, 51.6817, 1.04816, 0.772400, 50.9093, 100.00
2007, 03, 01, 49.0365, 0.943448, -0.535734, 49.5723, 100.00
2007, 04, 01, 45.7741, 0.488364, 2.74413, 43.0300, 100.00
2007, 05, 01, 35.6645, 0.412266, -1.63080, 37.2953, 100.00
2007, 06, 01, 36.2116, 0.477615, 1.84440, 34.3672, 100.00
2007, 07, 01, 37.0784, 0.677873, 0.776667, 36.3017, 100.00
2007, 08, 01, 41.0912, 0.375624, -0.0748009, 41.1660, 100.00
2007, 09, 01, 48.2649, 0.734248, 0.737867, 47.5271, 100.00
2007, 10, 01, 48.7591, 0.474297, -2.71280, 51.4719, 100.00
2007, 11, 01, 54.1493, 1.06084, 2.11933, 52.0300, 100.00
2007, 12, 01, 41.7605, 0.787823, -10.0164, 51.7769, 100.00
2008, 01, 01, 50.9789, 0.814075, 0.627734, 50.3512, 100.00
2008, 02, 01, 51.3511, 0.677785, 0.441734, 50.9093, 100.00
2008, 03, 01, 45.4664, 0.531408, -4.10587, 49.5723, 100.00
2008, 04, 01, 44.8033, 0.448270, 1.77333, 43.0300, 100.00
2008, 05, 01, 40.0591, 0.258479, 2.76373, 37.2953, 100.00
2008, 06, 01, 32.8595, 0.625082, -1.50773, 34.3672, 100.00
2008, 07, 01, 34.9632, 0.542297, -1.33853, 36.3017, 100.00
2008, 08, 01, 44.1028, 0.672406, 2.93680, 41.1660, 100.00
2008, 09, 01, 47.8839, 0.979102, 0.356800, 47.5271, 100.00
2008, 10, 01, 58.7540, 0.462427, 7.28213, 51.4719, 100.00
2008, 11, 01, 55.7056, 0.762049, 3.67560, 52.0300, 100.00
2008, 12, 01, 52.2116, 1.02066, 0.434666, 51.7769, 100.00
2009, 01, 01, 49.9773, 0.834344, -0.373867, 50.3512, 100.00
2009, 02, 01, 51.9615, 0.938090, 1.05213, 50.9093, 100.00
2009, 03, 01, 49.5728, 0.782111, 0.000532023, 49.5723, 100.00
2009, 04, 01, 44.3083, 0.472881, 1.27827, 43.0300, 100.00
2009, 05, 01, 38.2335, 1.10250, 0.938133, 37.2953, 100.00
2009, 06, 01, 36.5775, 0.282292, 2.21027, 34.3672, 100.00
2009, 07, 01, 37.5572, 0.561168, 1.25547, 36.3017, 100.00
2009, 08, 01, 39.1927, 0.904660, -1.97333, 41.1660, 100.00
2009, 09, 01, 42.7267, 0.477638, -4.80040, 47.5271, 100.00
2009, 10, 01, 53.4443, 2.01277, 1.97240, 51.4719, 100.00
2009, 11, 01, 47.5912, 1.10646, -4.43880, 52.0300, 100.00
2009, 12, 01, 59.1613, 0.857279, 7.38440, 51.7769, 100.00
2010, 01, 01, 47.4908, 1.58010, -2.86040, 50.3512, 100.00
2010, 02, 01, 52.2016, 0.758366, 1.29227, 50.9093, 100.00
2010, 03, 01, 46.6763, 0.776040, -2.89600, 49.5723, 100.00
2010, 04, 01, 46.8973, 0.707476, 3.86733, 43.0300, 100.00
2010, 05, 01, 37.0791, 0.622355, -0.216266, 37.2953, 100.00
2010, 06, 01, 35.3292, 0.231782, 0.962001, 34.3672, 100.00
