Year,Month,mean_SST,max_SST
2018,2,29.046428544180735,29.84000015258789
2018,3,28.251935528170677,28.940000534057617
2018,4,27.56400006612142,28.239999771118164
2018,5,26.757096752043694,27.110000610351563
2018,6,25.950666745503742,26.510000228881836
2018,7,24.902580691922097,26.010000228881836
2018,8,24.41064520805113,24.780000686645508
2018,9,24.90199998219808,25.34000015258789
2018,10,26.038709702030307,27.229999542236328
2018,11,27.298333485921223,27.969999313354492
2018,12,28.280322597872825,29.110000610351563
2019,1,28.040645045618856,28.5
2019,2,28.040714059557235,28.65999984741211
2019,3,28.29677434121409,28.979999542236328
2019,4,27.62266674041748,28.520000457763672
2019,5,26.525161189417684,27.40999984741211
2019,6,25.197333335876465,25.950000762939453
2019,7,24.464838766282604,24.989999771118164
2019,8,24.505806461457283,25.40999984741211
2019,9,25.232666714986166,25.6200008392334
2019,10,25.43032258556735,26.1299991607666
2019,11,26.209666760762534,26.770000457763672
2019,12,27.7454838906565,28.399999618530273
2020,1,28.966774232925907,29.8700008392334
2020,2,29.89275866541369,30.639999389648438
2020,3,29.032257879934004,30.81999969482422
2020,4,27.77033322652181,28.18000030517578
2020,5,26.912580490112305,28.110000610351563
2020,6,25.85266660054525,26.31999969482422
2020,7,25.02032261510049,25.399999618530273
2020,8,25.284516057660504,25.639999389648438
2020,9,25.448999659220377,26.639999389648438
2020,10,26.23129032504174,27.579999923706055
2020,11,27.329666582743325,28.190000534057617
2020,12,28.279354833787487,29.6299991607666
2021,1,29.487096909553774,30.270000457763672
2021,2,29.584285736083984,30.25
2021,3,28.76233329772949,29.670000076293945
2021,4,27.640333302815755,28.479999542236328
2021,5,27.105483824206935,27.809999465942383
2021,6,25.69199994405111,26.079999923706055
2021,7,25.04000005414409,25.450000762939453
2021,8,25.16225802513861,25.459999084472656
2021,9,25.051379433993635,25.610000610351563
2021,10,26.906451563681326,27.81999969482422
2021,11,27.70800011952718,28.1299991607666
2021,12,28.709032243297948,29.260000228881836
2022,1,28.893548411707723,29.31999969482422
2022,2,28.96714292253767,29.940000534057617
2022,3,29.290645045618856,30.170000076293945
2022,4,28.127666473388672,28.8799991607666
2022,5,27.21032247235698,27.399999618530273
2022,6,26.346999994913737,27.350000381469727
2022,7,25.524516136415542,25.84000015258789
2022,8,25.59451613887664,25.829999923706055
2022,9,26.612999979654948,27.110000610351563
2022,10,27.75333334604899,28.59000015258789
2022,11,27.900333404541016,28.399999618530273
2022,12,28.25870963065855,29.049999237060547
2023,1,28.49516111804593,28.760000228881836
2023,2,28.805185106065537,29.209999084472656
2023,3,28.67096777885191,29.139999389648438
2023,4,28.7513334274292,29.420000076293945
2023,5,27.113871051419167,27.739999771118164
2023,6,26.104333368937173,26.3799991607666
2023,7,25.837096737277122,26.420000076293945
2023,8,24.978064383229903,25.229999542236328
2023,9,25.19866663614909,25.389999389648438
2023,10,25.50870963065855,26.200000762939453
2023,11,26.427666600545248,27.59000015258789
2023,12,27.59516119187878,28.940000534057617
2024,1,29.129677372594035,29.829999923706055
2024,2,29.488965527764684,29.969999313354492
2024,3,29.229000027974447,29.860000610351563
2024,4,28.259333419799805,29.010000228881836
2024,5,26.994193538542717,27.559999465942383
2024,6,25.910666720072427,26.579999923706055
2024,7,25.187741864112116,25.530000686645508
2024,8,24.791290406257875,25.520000457763672
2024,9,25.59033317565918,25.889999389648438
2024,10,25.80064502839119,26.549999237060547
2024,11,27.053214481898717,27.639999389648438
