Year,Month,mean_SST,max_SST
2006,1,28.955161371538715,30.209999084472656
2006,2,28.648571491241455,29.540000915527344
2006,3,28.029354895314864,28.860000610351563
2006,4,27.58233331044515,28.389999389648438
2006,5,26.29225810881584,27.09000015258789
2006,6,25.584000078837075,26.190000534057617
2006,7,24.537096761888073,25.270000457763672
2006,8,24.34225796115014,24.889999389648438
2006,9,24.79599997202555,25.309999465942383
2006,10,25.034516180715254,26.68000030517578
2006,11,26.23633321126302,26.709999084472656
2006,12,26.929677409510457,27.65999984741211
2007,1,28.21483858170048,29.270000457763672
2007,2,27.838928699493408,28.190000534057617
2007,3,28.043225749846428,29.100000381469727
2007,4,26.661666679382325,27.829999923706055
2007,5,26.448387084468717,26.770000457763672
2007,6,25.250333404541017,26.190000534057617
2007,7,24.174516001055316,24.649999618530273
2007,8,24.17129042840773,24.450000762939453
2007,9,24.081666882832845,24.690000534057617
2007,10,25.629354846092962,26.639999389648438
2007,11,26.61766668955485,27.25
2007,12,27.790645045618856,28.610000610351563
2008,1,28.82516134938886,29.690000534057617
2008,2,28.751724045852136,29.510000228881836
2008,3,27.64387112279092,28.760000228881836
2008,4,26.862333424886067,27.6200008392334
2008,5,25.52580648852933,26.06999969482422
2008,6,24.92166665395101,25.420000076293945
2008,7,24.637096774193548,25.6299991607666
2008,8,24.809354905159243,25.299999237060547
2008,9,25.11700019836426,25.760000228881836
2008,10,25.917096784037927,26.43000030517578
2008,11,27.54233322143555,29.760000228881836
2008,12,28.852258128504598,29.670000076293945
2009,1,29.015806444229618,30.059999465942383
2009,2,28.991785730634415,29.5
2009,3,28.18548387096774,28.93000030517578
2009,4,27.636999956766765,28.670000076293945
2009,5,26.237419189945346,27.020000457763672
2009,6,25.184666697184245,25.940000534057617
2009,7,25.005161223873014,25.989999771118164
2009,8,24.711935535553962,24.969999313354492
2009,9,25.256333287556966,25.969999313354492
2009,10,25.595806490990423,26.260000228881836
2009,11,26.517666562398276,27.90999984741211
2009,12,28.07451611180459,28.829999923706055
2010,1,28.50161281708748,29.489999771118164
2010,2,29.03000000544957,29.65999984741211
2010,3,28.388387003252582,29.979999542236328
2010,4,27.891000048319498,28.43000030517578
2010,5,26.899354811637632,27.559999465942383
2010,6,26.363666598002116,27
2010,7,25.558387018019154,25.8700008392334
2010,8,25.04870980785739,25.940000534057617
2010,9,26.093999989827473,26.489999771118164
2010,10,26.698387084468717,27.65999984741211
2010,11,27.72733345031738,28.270000457763672
2010,12,29.283548293575162,30.18000030517578
2011,1,28.834516279159054,29.350000381469727
2011,2,27.746785640716553,28.829999923706055
2011,3,28.2545161093435,28.920000076293945
2011,4,28.163666661580404,28.8700008392334
2011,5,26.161935437110163,27.649999618530273
2011,6,24.832666460673014,25.770000457763672
2011,7,24.172258130965695,24.5
2011,8,23.89903240819131,24.729999542236328
2011,9,24.044333267211915,24.950000762939453
2011,10,25.670322602795018,26.559999465942383
2011,11,26.99200007120768,28.100000381469727
2011,12,28.692257911928237,29.200000762939453
2012,1,28.46258065008348,29.399999618530273
2012,2,28.747931184439825,29.450000762939453
2012,3,28.49032248220136,29.229999542236328
2012,4,27.00633347829183,27.670000076293945
2012,5,26.753870687177105,27.799999237060547
2012,6,25.087666511535645,25.56999969482422
2012,7,24.718709638041833,25.229999542236328
2012,8,24.410322620022683,25.700000762939453
2012,9,24.87466672261556,25.479999542236328
2012,10,25.92612894119755,26.809999465942383
2012,11,26.192999839782715,26.93000030517578
2012,12,27.495806540212325,28.93000030517578
2013,1,28.75612917254048,29.3700008392334
2013,2,29.08285733631679,29.790000915527344
2013,3,27.970000236265122,29.940000534057617
2013,4,27.10666675567627,27.760000228881836
2013,5,26.45548395956716,27.040000915527344
2013,6,24.981999842325845,25.940000534057617
2013,7,24.557742149599136,25.040000915527344
2013,8,24.11032252157888,24.489999771118164
2013,9,24.94466667175293,25.81999969482422
2013,10,25.711935535553962,27.100000381469727
2013,11,27.46866658528646,28.68000030517578
2013,12,27.262903213500977,27.90999984741211
2014,1,28.313548549529045,28.700000762939453
2014,2,28.053214277539933,28.469999313354492
2014,3,28.070322590489543,28.93000030517578
2014,4,27.47000001271566,27.889999389648438
2014,5,26.80903225560342,27.889999389648438
2014,6,25.932333501180015,26.59000015258789
2014,7,24.49193554539834,25.18000030517578
2014,8,24.052580802671372,24.459999084472656
2014,9,24.53433322906494,25.5
2014,10,25.363225813834898,25.790000915527344
2014,11,26.86433334350586,27.920000076293945
2014,12,28.19935484855406,28.709999084472656
2015,1,28.907741977322488,29.639999389648438
2015,2,28.76071446282523,29.68000030517578
2015,3,28.621935629075573,30.700000762939453
2015,4,27.47966651916504,28.93000030517578
2015,5,26.37225809404927,27.139999389648438
2015,6,25.931000073750813,27.350000381469727
2015,7,25.45451613395445,25.969999313354492
2015,8,24.772903257800685,25.149999618530273
2015,9,25.093666776021323,25.389999389648438
2015,10,25.405806387624434,26.040000915527344
2015,11,26.68400001525879,27.459999084472656
2015,12,27.88967747842112,29.200000762939453
2016,1,28.708387067241052,29.719999313354492
2016,2,29.311724235271587,29.81999969482422
2016,3,29.312580785443707,30.260000228881836
2016,4,27.6133331934611,28.239999771118164
2016,5,27.07741952711536,27.989999771118164
2016,6,26.26733334859212,26.860000610351563
2016,7,25.550000036916426,25.93000030517578
2016,8,24.658709741407826,25.59000015258789
2016,9,25.381000073750815,26.559999465942383
2016,10,26.24612912824077,26.8700008392334
2016,11,27.232000223795573,28.18000030517578
2016,12,27.557741780434885,28.59000015258789
2017,1,29.248386998330393,29.950000762939453
2017,2,29.356428623199463,30.579999923706055
2017,3,28.99483871459961,29.65999984741211
2017,4,27.60499998728434,28.299999237060547
2017,5,26.978387032785722,27.610000610351563
2017,6,25.839000066121418,26.510000228881836
2017,7,25.582903092907323,25.969999313354492
2017,8,25.032903179045647,25.389999389648438
2017,9,24.622999954223634,25.520000457763672
2017,10,26.548709561747888,27.829999923706055
2017,11,27.397999954223632,28.059999465942383
2017,12,28.547741982244677,29.149999618530273
2018,1,28.96580634578582,29.479999542236328
