timestamp_gmt,excel_serial_time_gmt,temperature_c,ph_totalscale
8/12/2012 1:00,41133.04168,26.38,8.093
8/12/2012 1:30,41133.06251,26.39,8.094
8/12/2012 2:00,41133.08334,26.38,8.094
8/12/2012 2:30,41133.10418,26.41,8.094
8/12/2012 3:00,41133.12501,26.39,8.094
8/12/2012 3:30,41133.14584,26.38,8.094
8/12/2012 4:00,41133.16668,26.38,8.091
8/12/2012 4:30,41133.18751,26.37,8.094
8/12/2012 5:00,41133.20834,26.36,8.093
8/12/2012 5:30,41133.22918,26.36,8.094
8/12/2012 6:00,41133.25001,26.34,8.092
8/12/2012 6:30,41133.27084,26.35,8.09
8/12/2012 7:00,41133.29168,26.35,8.091
8/12/2012 7:30,41133.31251,26.35,8.09
8/12/2012 8:00,41133.33334,26.35,8.091
8/12/2012 8:30,41133.35418,26.34,8.09
8/12/2012 9:00,41133.37501,26.33,8.089
8/12/2012 9:30,41133.39584,26.33,8.087
8/12/2012 10:00,41133.41668,26.31,8.087
8/12/2012 10:30,41133.43751,26.32,8.087
8/12/2012 11:00,41133.45834,26.32,8.087
8/12/2012 11:30,41133.47918,26.31,8.088
8/12/2012 12:00,41133.50001,26.3,8.087
8/12/2012 12:30,41133.52084,26.3,8.091
8/12/2012 13:00,41133.54168,26.29,8.087
8/12/2012 13:30,41133.56251,26.29,8.089
8/12/2012 14:00,41133.58334,26.28,8.083
8/12/2012 14:30,41133.60418,26.28,8.081
8/12/2012 15:00,41133.62501,26.28,8.085
8/12/2012 15:30,41133.64584,26.29,8.086
8/12/2012 16:00,41133.66668,26.29,8.09
8/12/2012 16:30,41133.68751,26.31,8.089
8/12/2012 17:00,41133.70834,26.31,8.09
8/12/2012 17:30,41133.72918,26.31,8.09
8/12/2012 18:00,41133.75001,26.32,8.09
8/12/2012 18:30,41133.77084,26.33,8.091
8/12/2012 19:00,41133.79168,26.33,8.092
8/12/2012 19:30,41133.81251,26.32,8.09
8/12/2012 20:00,41133.83334,26.31,8.09
8/12/2012 20:30,41133.85418,26.32,8.09
8/12/2012 21:00,41133.87501,26.32,8.091
8/12/2012 21:30,41133.89584,26.33,8.091
8/12/2012 22:00,41133.91668,26.34,8.091
8/12/2012 22:30,41133.93751,26.35,8.093
8/12/2012 23:00,41133.95834,26.35,8.093
8/12/2012 23:30,41133.97918,26.36,8.095
8/13/2012 0:00,41134.00001,26.35,8.095
8/13/2012 0:30,41134.02084,26.36,8.094
8/13/2012 1:00,41134.04168,26.36,8.092
8/13/2012 1:30,41134.06251,26.35,8.094
8/13/2012 2:00,41134.08334,26.35,8.093
8/13/2012 2:30,41134.10418,26.34,8.093
8/13/2012 3:00,41134.12501,26.33,8.094
8/13/2012 3:30,41134.14584,26.33,8.094
8/13/2012 4:00,41134.16668,26.33,8.091
8/13/2012 4:30,41134.18751,26.33,8.088
8/13/2012 5:00,41134.20834,26.33,8.09
8/13/2012 5:30,41134.22918,26.31,8.092
8/13/2012 6:00,41134.25001,26.32,8.092
8/13/2012 6:30,41134.27084,26.32,8.09
8/13/2012 7:00,41134.29168,26.31,8.09
8/13/2012 7:30,41134.31251,26.32,8.089
8/13/2012 8:00,41134.33334,26.31,8.088
8/13/2012 8:30,41134.35418,26.3,8.089
8/13/2012 9:00,41134.37501,26.29,8.09
8/13/2012 9:30,41134.39584,26.28,8.088
8/13/2012 10:00,41134.41668,26.28,8.088
8/13/2012 10:30,41134.43751,26.27,8.083
8/13/2012 11:00,41134.45834,26.23,8.081
8/13/2012 11:30,41134.47918,26.24,8.092
8/13/2012 12:00,41134.50001,26.25,8.087
8/13/2012 12:30,41134.52084,26.25,8.087
8/13/2012 13:00,41134.54168,26.25,8.084
8/13/2012 13:30,41134.56251,26.26,8.087
8/13/2012 14:00,41134.58334,26.24,8.085
8/13/2012 14:30,41134.60418,26.24,8.085
8/13/2012 15:00,41134.62501,26.25,8.085
8/13/2012 15:30,41134.64584,26.25,8.091
8/13/2012 16:00,41134.66668,26.25,8.092
8/13/2012 16:30,41134.68751,26.24,8.092
8/13/2012 17:00,41134.70834,26.22,8.092
8/13/2012 17:30,41134.72918,26.24,8.091
8/13/2012 18:00,41134.75001,26.25,8.09
8/13/2012 18:30,41134.77084,26.25,8.088
8/13/2012 19:00,41134.79168,26.25,8.087
8/13/2012 19:30,41134.81251,26.25,8.09
8/13/2012 20:00,41134.83334,26.26,8.091
8/13/2012 20:30,41134.85418,26.27,8.092
8/13/2012 21:00,41134.87501,26.28,8.092
8/13/2012 21:30,41134.89584,26.29,8.093
8/13/2012 22:00,41134.91668,26.3,8.093
8/13/2012 22:30,41134.93751,26.32,8.094
8/13/2012 23:00,41134.95834,26.37,8.093
8/13/2012 23:30,41134.97918,26.37,8.092
8/14/2012 0:00,41135.00001,26.38,8.091
8/14/2012 0:30,41135.02084,26.39,8.092
8/14/2012 1:00,41135.04168,26.4,8.09
8/14/2012 1:30,41135.06251,26.4,8.091
8/14/2012 2:00,41135.08334,26.38,8.093
8/14/2012 2:30,41135.10418,26.38,8.088
8/14/2012 3:00,41135.12501,26.36,8.094
8/14/2012 3:30,41135.14584,26.36,8.088
