"","XUP","XUP_ROT","YUP","YUP_ROT","Raw_Speed_UP","Compass_Dir_UP","Vec_Rot_Speed_UP","Depth_UP","XDN","XDN_ROT","YDN","YDN_ROT","Raw_Speed_DN","Compass_Dir_DN","Vec_Rot_Speed_DN","Depth_DN","PAR","UP_Oxy","UP_Temp","DN_Oxy","DN_Temp","Wind_Speed","mean_solar_rad_kwpm2","PP","DNOff","O2_Diff","airflux"
"2018-05-28 12:00:00",0.00231,-0.0041273397688283,-0.088005,-0.0785124707457618,0.0957680257921658,178.496416469747,0.0834842215203859,2.176147024672,-0.0338346153846154,-0.0297815447969485,-0.0470461538461538,-0.0436993335657627,0.0603072955839984,215.722902924981,0.0548827447784026,2.73808218821088,NA,220.513550065629,28.7806,240.704455921541,29.125,3.8553,0.7307,30.7504055275527,245.489218975857,24.9756689102282,3.5655783122984
"2018-05-28 12:10:00",-0.007815,-0.0141309975690878,-0.094495,-0.0889789234635961,0.102774021763615,184.72776139969,0.0926509028663173,2.16324871583863,-0.0398576923076923,-0.0381456496746485,-0.0847423076923076,-0.0801562489188987,0.098338949117232,205.189475717321,0.0926927332713411,2.72560724980583,1540.94,221.501071941996,28.7796,239.691498733706,29.0976,3.6017,0.7161,34.9527885776786,242.060652999987,20.5595810579909,3.57439279416752
"2018-05-28 12:20:00",-0.02308,-0.0234959828795076,-0.1286,-0.123515852016383,0.135309246825102,190.174625423652,0.129728730622852,2.16413477235784,-0.0542615384615385,-0.0496862050700416,-0.0854,-0.0811717999873437,0.103898668653206,212.431101928086,0.0975329645543495,2.72688424524124,1467.0185,221.187408588037,28.7722,240.407571765822,29.0667,3.7907,0.7172,43.293485330101,242.060652999987,20.8732444119502,3.93570513525658
"2018-05-28 12:30:00",-0.021695,-0.0212877748650848,-0.11009,-0.105407277761667,0.116944034929598,191.148203451882,0.111622594762877,2.1501527130834,-0.0777576923076924,-0.0712448562096584,-0.104884615384615,-0.0978155258385742,0.132711692591871,216.551911685351,0.123035805403298,2.71087222798172,1166.1735,220.596705262829,28.7604,239.07963266919,29.0014,3.8956,0.7503,46.9704242065828,242.060652999987,21.4639477371583,3.94653566197704
"2018-05-28 12:40:00",-0.015535,-0.016683474494308,-0.125735,-0.12013804729131,0.130752028237481,187.043398861949,0.124782973009942,2.14168424409854,-0.0957790769230769,-0.0743722502426708,-0.0765439999999999,-0.0645209826740824,0.126231884101414,231.369114887592,0.101202482965272,2.70193248596569,1420.3675,219.428386149134,28.7554,238.016113072598,29.0257,3.9288,0.685,55.3498709621102,245.866227508721,26.4378413595868,3.82395855302295
"2018-05-28 12:50:00",0.016185,0.00912532304951551,-0.10584,-0.0911499727087743,0.113292117016153,171.305710627812,0.096483259512576,2.14040401815271,-0.066832923076923,-0.0555393910666187,-0.0719263076923077,-0.0659594406237703,0.102074760740472,222.89780843954,0.0883235256081364,2.6981992930011,1352.1635,218.455416744797,28.7479,239.457217458747,29.0224,3.7449,0.6058,46.9403774273246,245.866227508721,27.4108107639244,3.52183339016384
"2018-05-28 13:00:00",-0.01653,-0.0155250624119867,-0.089795,-0.0836915548832091,0.0980052979987225,190.430573044072,0.0907042898818073,2.13144297685111,-0.077144,-0.0648961236723397,-0.08474,-0.07585112384993,0.118843703111666,222.31350993646,0.103591987616935,2.69063449792604,1368.00075,219.430807394212,28.7746,241.706884076358,29.0343,3.8871,0.8477,41.5493088598738,242.683858973012,23.2530515788003,3.86240636259227
"2018-05-28 13:10:00",-0.021645,-0.0233107425274112,-0.11584,-0.109429477662467,0.12431954972446,190.583815062169,0.117106728531221,2.12661756259552,-0.06424,-0.0563723969881875,-0.083672,-0.0776599895115818,0.108875671416123,217.51560586389,0.09879788970708,2.68326589319828,1450.08925,217.612719544972,28.7714,243.250656824735,29.0526,3.883,0.7737,41.4644598370713,238.943598221171,21.3308786761991,3.94341747650081
"2018-05-28 13:20:00",-0.002855,-0.00380925468940331,-0.10322,-0.09616282876509,0.106926831575486,181.584361097775,0.0995444982353278,2.11726190106699,-0.08016,-0.0685316636224667,-0.092696,-0.0863981192628474,0.12655703657825,220.852012001331,0.112082141314628,2.67619182540848,1517.6125,216.292649540596,28.7831,242.671439818038,29.0557,4.0931,0.7564,39.7988352322173,237.023012043982,20.7303625033855,4.01315889192861
"2018-05-28 13:30:00",-0.010025,-0.0111638501746619,-0.11003,-0.105394620053193,0.113128844964533,185.20593165838,0.108153238727182,2.10820146112597,-0.080796,-0.0653931986798525,-0.089608,-0.0805446784143046,0.127584987577774,222.039734511667,0.109315020626481,2.66577694398276,1444.205,216.553324426527,28.7914,242.060652999987,29.0367,3.8844,0.7402,36.0812109002386,235.116923661984,18.5635992354569,3.83655903708904
