time_local,time_utc,air_temp_C,data_coverage_air_temp_C,wind_stress_pa,data_coverage_wind_stress_pa,wind_direction_degtrue,data_coverage_wind_direction_degtrue,wind_U_mps,data_coverage_wind_U_mps,wind_V_mps,data_coverage_wind_V_mps,mean_solar_rad_kwpm2,data_coverage_mean_solar_rad_kwpm2,atm_press_mbar,data_coverage_atm_press_mbar,cumulative_rainfall_mm,data_coverage_cumulative_rainfall_mm
2006-08-27 00:00:00,2006-08-27 10:00:00, 25.07, 1.00, 0.0193, 1.00, 137.7, 1.00,  -2.30, 1.00,   2.53, 1.00,    0.25, 1.00, -999, 0.00,   0.0, 1.00
2006-08-28 00:00:00,2006-08-28 10:00:00, 24.48, 1.00, 0.0123, 1.00, 142.1, 1.00,  -1.63, 1.00,   2.10, 1.00,    0.13, 1.00, -999, 0.00,   0.5, 1.00
2006-08-29 00:00:00,2006-08-29 10:00:00, 25.30, 1.00, 0.0107, 1.00,  89.2, 1.00,  -1.45, 1.00,  -0.02, 1.00,    0.24, 1.00, -999, 0.00,   0.0, 1.00
2006-08-30 00:00:00,2006-08-30 10:00:00, 25.66, 1.00, 0.0131, 1.00,  90.0, 1.00,  -2.03, 1.00,  -0.00, 1.00,    0.28, 1.00, -999, 0.00,   0.0, 1.00
2006-08-31 00:00:00,2006-08-31 10:00:00, 25.40, 1.00, 0.0131, 1.00,  62.5, 1.00,  -1.70, 1.00,  -0.89, 1.00,    0.24, 1.00, -999, 0.00,   0.3, 1.00
2006-09-01 00:00:00,2006-09-01 10:00:00, 26.21, 1.00, 0.0269, 1.00,  42.1, 1.00,  -1.91, 1.00,  -2.12, 1.00,    0.24, 1.00, -999, 0.00,   1.0, 1.00
2006-09-02 00:00:00,2006-09-02 10:00:00, 25.47, 1.00, 0.0099, 1.00, 124.8, 1.00,  -0.11, 1.00,   0.07, 1.00,    0.14, 1.00, -999, 0.00,   1.3, 1.00
2006-09-03 00:00:00,2006-09-03 10:00:00, 24.55, 1.00, 0.0095, 1.00, 131.5, 1.00,  -1.20, 1.00,   1.06, 1.00,    0.14, 1.00, -999, 0.00,   0.8, 1.00
2006-09-04 00:00:00,2006-09-04 10:00:00, 23.99, 1.00, 0.0114, 1.00, 133.0, 1.00,  -1.81, 1.00,   1.69, 1.00,    0.25, 1.00, -999, 0.00,   0.0, 1.00
2006-09-05 00:00:00,2006-09-05 10:00:00, 23.94, 1.00, 0.0026, 1.00, 154.7, 1.00,  -0.36, 1.00,   0.76, 1.00,    0.14, 1.00, -999, 0.00,   0.0, 1.00
2006-09-06 00:00:00,2006-09-06 10:00:00, 24.06, 1.00, 0.0059, 1.00, 147.5, 1.00,  -0.81, 1.00,   1.27, 1.00,    0.26, 1.00, -999, 0.00,   0.0, 1.00
2006-09-07 00:00:00,2006-09-07 10:00:00, 23.31, 1.00, 0.0098, 1.00,  47.7, 1.00,  -0.81, 1.00,  -0.74, 1.00,    0.22, 1.00, -999, 0.00,   0.0, 1.00
2006-09-08 00:00:00,2006-09-08 10:00:00, 24.58, 1.00, 0.0069, 1.00,  99.4, 1.00,  -1.24, 1.00,   0.20, 1.00,    0.26, 1.00, -999, 0.00,   0.0, 1.00
2006-09-09 00:00:00,2006-09-09 10:00:00, 25.44, 1.00, 0.0129, 1.00,  69.0, 1.00,  -1.58, 1.00,  -0.61, 1.00,    0.26, 1.00, -999, 0.00,  30.0, 1.00
2006-09-10 00:00:00,2006-09-10 10:00:00, 26.12, 1.00, 0.0193, 1.00,  61.6, 1.00,  -2.33, 1.00,  -1.26, 1.00,    0.29, 1.00, -999, 0.00,   0.0, 1.00
2006-09-11 00:00:00,2006-09-11 10:00:00, 25.52, 1.00, 0.0131, 1.00,  38.1, 1.00,  -1.16, 1.00,  -1.49, 1.00,    0.30, 1.00, -999, 0.00,   0.0, 1.00
